typo,normal
aja,saja
apk,aplikasi
apk nya,aplikasi
apknya,aplikasi
app,aplikasi
apps,aplikasi
bayarr,bayar
bayarrnya,bayar
bayarrr,bayar
bgt,banget
bgtt,banget
bkn,bukan
blm,belum
bngt,banget
bngtt,banget
bufferig,buffering
bufferng,buffering
buffring,buffering
bufring,buffering
bugg,bug
cras,crash
crashh,crash
dg,dengan
dgn,dengan
donlod,download
downloaded,download
downlod,download
dr,dari
dwonlod,download
episod,episode
eror,error
erorr,error
err,error
erro,error
errorr,error
filmnnya,filmnya
filmnyaa,filmnya
fiturr,fitur
ga,tidak
ga ada,tidak ada
ga bisa,tidak bisa
gabisa,tidak bisa
gaboleh,tidak boleh
gak,tidak
gak ada,tidak ada
gakbisa,tidak bisa
gakboleh,tidak boleh
gbs,tidak bisa
gk,tidak
gk ada,tidak ada
gk bisa,tidak bisa
hangg,hang
karna,karena
kemahalan,mahal
krn,karena
lagg,lag
lambatt,lambat
lambattt,lambat
langganan nya,langganan
langganann,langganan
lelet,lemot
lemott,lemot
lemottt,lemot
lengkapp,lengkap
lengkappp,lengkap
loadingg,loading
loadng,loading
lodinng,loading
log,login
log in,login
log out,logout
loginn,login
loginnya,login
loginya,login
logoutt,logout
mahal banget,mahal
mahal bgt,mahal
mahalnya,mahal
mbayar,bayar
menunya,menu
menunyaa,menu
moviee,movie
murahh,murah
ngebug,bug
ngeglitch,glitch
ngehang,hang
ngelag,lag
ngeload,loading
ngga,tidak
nggak,tidak
sdh,sudah
seris,series
sign,sign in
sign in,login
signin,login
sm,sama
sub,subtitle
sub indo,subtitle
sub nya,subtitle
subindo,subtitle
subnya,subtitle
subtitel,subtitle
subtittle,subtitle
tdak,tidak
tdk,tidak
tida,tidak
tidk,tidak
trs,terus
trus,terus
udh,sudah
untk,untuk
utk,untuk
yg,yang
hrg,harga
lnkp,lengkap
